Date,Open,High,Low,Close,Volume,Signal,secsseOrder
2022-08-26 18:00:00,0.351,0.352,0.348,0.352,43667.5905,0,
2022-08-26 19:00:00,0.352,0.353,0.35,0.35,16725.5531,0,
2022-08-26 20:00:00,0.351,0.353,0.35,0.351,3638.4083,0,
2022-08-26 21:00:00,0.352,0.352,0.348,0.35,27036.3192,0,
2022-08-26 22:00:00,0.349,0.351,0.345,0.348,29629.5641,0,
2022-08-26 23:00:00,0.348,0.348,0.337,0.34,65859.774,0,
2022-08-27 00:00:00,0.34,0.343,0.338,0.343,35185.0997,0,
2022-08-27 01:00:00,0.343,0.344,0.342,0.343,6347.5993,0,
2022-08-27 02:00:00,0.343,0.344,0.342,0.344,15178.4768,0,
2022-08-27 03:00:00,0.344,0.36,0.343,0.36,75451.5069,0,
2022-08-27 04:00:00,0.36,0.372,0.349,0.351,356521.5825,0,
2022-08-27 05:00:00,0.352,0.359,0.347,0.358,144652.5915,0,
2022-08-27 06:00:00,0.357,0.358,0.353,0.354,21804.4499,0,
2022-08-27 07:00:00,0.354,0.354,0.35,0.353,26141.2742,0,
2022-08-27 08:00:00,0.353,0.353,0.348,0.348,39220.8627,0,
2022-08-27 09:00:00,0.348,0.349,0.347,0.347,11801.8722,0,
2022-08-27 10:00:00,0.348,0.353,0.348,0.35,19177.9396,0,
2022-08-27 11:00:00,0.35,0.353,0.35,0.351,10178.0813,0,
2022-08-27 12:00:00,0.351,0.352,0.35,0.35,10667.3757,0,
2022-08-27 13:00:00,0.35,0.353,0.349,0.351,22261.9852,0,
2022-08-27 14:00:00,0.35,0.351,0.346,0.347,68139.0759,0,
2022-08-27 15:00:00,0.347,0.347,0.338,0.342,60303.3053,0,
2022-08-27 16:00:00,0.342,0.342,0.338,0.341,35717.0595,0,
2022-08-27 17:00:00,0.342,0.343,0.34,0.341,34739.2153,0,
2022-08-27 18:00:00,0.342,0.342,0.34,0.341,6065.3977,0,
2022-08-27 19:00:00,0.341,0.343,0.34,0.341,6077.1139,0,
2022-08-27 20:00:00,0.342,0.343,0.341,0.343,19204.1002,0,
2022-08-27 21:00:00,0.343,0.343,0.341,0.341,2741.1394,0,
2022-08-27 22:00:00,0.341,0.344,0.34,0.343,28003.772,0,
2022-08-27 23:00:00,0.343,0.349,0.343,0.347,17165.5383,0,
2022-08-28 00:00:00,0.348,0.353,0.345,0.349,66805.8798,0,
2022-08-28 01:00:00,0.349,0.35,0.346,0.349,11790.7725,0,
2022-08-28 02:00:00,0.349,0.35,0.347,0.347,15082.1957,0,
2022-08-28 03:00:00,0.348,0.35,0.346,0.347,4297.4745,0,
2022-08-28 04:00:00,0.346,0.349,0.346,0.348,30028.0251,0,
2022-08-28 05:00:00,0.348,0.348,0.342,0.346,56522.3477,0,
2022-08-28 06:00:00,0.345,0.346,0.345,0.346,3109.6541,0,
2022-08-28 07:00:00,0.346,0.347,0.345,0.346,13849.3781,0,
2022-08-28 08:00:00,0.347,0.347,0.344,0.344,4871.847,0,
2022-08-28 09:00:00,0.344,0.345,0.342,0.342,23270.6036,0,
2022-08-28 10:00:00,0.343,0.343,0.34,0.341,24753.022,0,
2022-08-28 11:00:00,0.341,0.341,0.339,0.34,28744.3721,0,
2022-08-28 12:00:00,0.341,0.342,0.339,0.339,20668.103,0,
2022-08-28 13:00:00,0.338,0.339,0.335,0.336,40749.3214,0,
2022-08-28 14:00:00,0.337,0.339,0.333,0.337,21716.0305,0,
2022-08-28 15:00:00,0.337,0.341,0.336,0.339,13078.8664,0,
2022-08-28 16:00:00,0.34,0.343,0.34,0.341,50825.6502,0,
